ID,"Lib.groupId","Lib.artifactId","Lib.version","Compile","Debloat","Debloat.Time","Lib.original.test.error","Lib.original.test.failing","Lib.original.test.passing","Lib.debloat.test.error","Lib.debloat.test.failing","Lib.debloat.test.passing","Size.original.jar","Size.debloat.jar","Size.workaround.jar","Nb.class.original","Nb.method.original","Nb.debloated.classes","Nb.preserved.classes","Nb.debloated.methods","Nb.Dependenies","Nb.bloated.dependenies","Nb.dependeny.class","Nb.bloated.dependeny.class","Nb.preserved.dependeny.class","Nb.dependeny.method","Nb.bloated.dependeny.method","Lib.coverage","Lib.dep.coverage","Lib.all.coverage","Client.groupId","Client.artifactId","Client.Compile","Client.Debloat","Client.original.test.error","Client.original.test.failing","Client.original.test.passing","Client.debloat.test.error","Client.debloat.test.failing","Client.debloat.test.passing","Client.coverage","Cover.lib"
alibaba_fastjson_1.2.54,com.alibaba,fastjson,1.2.54,True,True,905.362,0,0,4535,0,0,4535,590973,583993,588119,229,2033,3,2,50,48,48,36501,36501,0,0,0,0.8837315700424709,0,0.8837315700424709,com.wenge.datagroup,mbloglogin,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.54,com.alibaba,fastjson,1.2.54,True,True,905.362,0,0,4535,0,0,4535,590973,583993,588119,229,2033,3,2,50,48,48,36501,36501,0,0,0,0.8837315700424709,0,0.8837315700424709,com.github.dadiyang,dataprocessor,True,True,0,0,26,0,0,26,0.5752445447705041,True
alibaba_fastjson_1.2.54,com.alibaba,fastjson,1.2.54,True,True,905.362,0,0,4535,0,0,4535,590973,583993,588119,229,2033,3,2,50,48,48,36501,36501,0,0,0,0.8837315700424709,0,0.8837315700424709,com.yb.socket,socket-mqtt,True,True,0,0,1,0,0,1,0.001076591817902184,False
alibaba_fastjson_1.2.54,com.alibaba,fastjson,1.2.54,True,True,905.362,0,0,4535,0,0,4535,590973,583993,588119,229,2033,3,2,50,48,48,36501,36501,0,0,0,0.8837315700424709,0,0.8837315700424709,tech.spiro,addrparser,True,True,0,0,4,0,0,4,0.006878761822871883,False
alibaba_fastjson_1.2.54,com.alibaba,fastjson,1.2.54,True,True,905.362,0,0,4535,0,0,4535,590973,583993,588119,229,2033,3,2,50,48,48,36501,36501,0,0,0,0.8837315700424709,0,0.8837315700424709,com.github.kevin-wang001,poi-el,True,True,0,0,1,0,0,1,0.05716492854383932,False
alibaba_fastjson_1.2.54,com.alibaba,fastjson,1.2.54,True,True,905.362,0,0,4535,0,0,4535,590973,583993,588119,229,2033,3,2,50,48,48,36501,36501,0,0,0,0.8837315700424709,0,0.8837315700424709,com.cmower,java_demo,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.62,com.alibaba,fastjson,1.2.62,True,True,2161.632,0,0,4779,0,0,4779,659259,644867,653789,241,2161,6,1,67,53,53,42129,42129,0,0,0,0.8715929442359118,0,0.8715929442359118,com.actiontech,dble,True,True,0,0,242,0,0,242,0.07747450112592431,True
alibaba_fastjson_1.2.62,com.alibaba,fastjson,1.2.62,True,True,2161.632,0,0,4779,0,0,4779,659259,644867,653789,241,2161,6,1,67,53,53,42129,42129,0,0,0,0.8715929442359118,0,0.8715929442359118,com.blinkfox,fenix,True,True,0,0,227,0,0,227,0.8239793649381838,True
alibaba_fastjson_1.2.62,com.alibaba,fastjson,1.2.62,True,True,2161.632,0,0,4779,0,0,4779,659259,644867,653789,241,2161,6,1,67,53,53,42129,42129,0,0,0,0.8715929442359118,0,0.8715929442359118,me.gv7.tools.burpext,captcha-killer,True,True,0,0,2,0,0,2,0.03192247399173436,False
alibaba_fastjson_1.2.62,com.alibaba,fastjson,1.2.62,True,True,2161.632,0,0,4779,0,0,4779,659259,644867,653789,241,2161,6,1,67,53,53,42129,42129,0,0,0,0.8715929442359118,0,0.8715929442359118,org.saowu,HttpNetty,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.41,com.alibaba,fastjson,1.2.41,True,True,662.636,0,0,4176,0,0,4176,536230,516659,521477,217,1871,8,8,119,46,46,34992,34992,0,0,0,0.8651233752897339,0,0.8651233752897339,com.example,facelogin,True,True,0,0,1,0,0,1,0.06941715782580223,False
alibaba_fastjson_1.2.6,com.alibaba,fastjson,1.2.6,True,True,2474.13,0,0,4843,0,0,4843,672389,658915,667238,252,2209,6,1,61,52,52,40467,40467,0,0,0,0.8791517670178152,0,0.8791517670178152,com.keyhunter,serialization-test,True,True,0,0,4,0,0,4,0.7296435815705593,True
alibaba_fastjson_1.2.6,com.alibaba,fastjson,1.2.6,True,True,2474.13,0,0,4843,0,0,4843,672389,658915,667238,252,2209,6,1,61,52,52,40467,40467,0,0,0,0.8791517670178152,0,0.8791517670178152,com.mars,layuicodetool,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.6,com.alibaba,fastjson,1.2.6,True,True,2474.13,0,0,4843,0,0,4843,672389,658915,667238,252,2209,6,1,61,52,52,40467,40467,0,0,0,0.8791517670178152,0,0.8791517670178152,com.resgate,swarmui,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.42,com.alibaba,fastjson,1.2.42,True,True,721.429,0,0,4204,0,0,4204,538490,518908,523737,217,1876,8,8,119,46,46,34992,34992,0,0,0,0.8654893948238958,0,0.8654893948238958,com.taofen8.mid,trico-salyut,True,True,0,0,2,0,0,2,0.16018608526593528,False
alibaba_fastjson_1.2.44,com.alibaba,fastjson,1.2.44,True,True,855.526,0,0,4218,0,0,4218,539948,520354,525195,217,1882,8,8,120,46,46,34992,34992,0,0,0,0.8645121253551309,0,0.8645121253551309,whomm,canal2kudu,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.61,com.alibaba,fastjson,1.2.61,True,True,2082.397,0,0,4735,0,0,4735,654223,639638,648753,241,2150,6,1,68,53,53,42129,42129,0,0,0,0.8711507025741789,0,0.8711507025741789,com.zhongan.dmds,dmds-server,True,True,0,0,8,0,0,8,0.006127591847561785,False
alibaba_fastjson_1.2.61,com.alibaba,fastjson,1.2.61,True,True,2082.397,0,0,4735,0,0,4735,654223,639638,648753,241,2150,6,1,68,53,53,42129,42129,0,0,0,0.8711507025741789,0,0.8711507025741789,org.jenkins-ci,update-center2,True,True,0,0,13,0,0,13,,False
alibaba_fastjson_1.2.58,com.alibaba,fastjson,1.2.58,True,True,2520.912,0,0,4663,0,0,4663,640522,632211,639325,234,2107,2,0,41,51,51,41910,41910,0,0,0,0.8842736953580044,0,0.8842736953580044,person.pluto,natcross,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.58,com.alibaba,fastjson,1.2.58,True,True,2520.912,0,0,4663,0,0,4663,640522,632211,639325,234,2107,2,0,41,51,51,41910,41910,0,0,0,0.8842736953580044,0,0.8842736953580044,com.didiglobal.pressir,benchmark-thrift,True,True,0,0,54,0,0,54,0.6345475910693302,True
