Lib,nbDepsUsedClasses,nbDepsBloatedClasses,nbLibUsedClasses,nbLibBloatedClasses,nbLibUsedMethods,nbLibBloatedMethods,nbDepsUsedMethods,nbDepsBloatedMethods
apache_commons-codec_1.11,0,0,92,4,0,0,0,0
apache_commons-codec_1.7,0,0,81,4,563,40,0,0
apache_commons-codec_1.4,0,0,30,0,309,3,0,0
apache_commons-codec_1.8,0,0,82,4,0,0,0,0
apache_commons-codec_1.9,0,0,81,4,570,40,0,0
apache_commons-codec_1.10,0,0,87,5,655,46,0,0
apache_commons-codec_1.5,0,0,43,0,360,9,0,0
JodaOrg_joda-time_2.9.4,0,40,246,1,0,0,0,0
JodaOrg_joda-time_2.10.3,0,40,246,1,0,0,0,0
JodaOrg_joda-time_2.9.9,0,40,246,1,0,0,0,0
JodaOrg_joda-time_2.8.2,0,40,245,1,0,0,0,0
JodaOrg_joda-time_2.9.3,0,40,245,1,0,0,0,0
JodaOrg_joda-time_2.10.1,0,40,246,1,0,0,0,0
JodaOrg_joda-time_2.9,0,40,245,1,0,0,0,0
JodaOrg_joda-time_2.1,0,40,226,2,0,0,0,0
JodaOrg_joda-time_2.4,0,40,237,2,0,0,0,0
JodaOrg_joda-time_2.6,0,40,243,1,0,0,0,0
JodaOrg_joda-time_2.5,0,40,242,1,0,0,0,0
JodaOrg_joda-time_2.8,0,40,245,1,0,0,0,0
JodaOrg_joda-time_2.7,0,40,244,1,0,0,0,0
JodaOrg_joda-time_2.9.2,0,40,245,1,0,0,0,0
JodaOrg_joda-time_2.8.1,0,40,245,1,0,0,0,0
JodaOrg_joda-time_2.2,34,6,227,2,0,0,50,48
JodaOrg_joda-time_2.10.5,0,97,246,1,0,0,0,0
JodaOrg_joda-time_2.9.1,0,40,245,1,0,0,0,0
JodaOrg_joda-time_2.10,0,40,246,1,0,0,0,0
JodaOrg_joda-time_2.9.5,0,40,246,1,0,0,0,0
JodaOrg_joda-time_2.10.4,0,40,246,1,0,0,0,0
JodaOrg_joda-time_2.3,0,40,230,2,0,0,0,0
JodaOrg_joda-time_2.0,0,40,246,1,0,0,0,0
JodaOrg_joda-time_2.9.7,0,40,246,1,0,0,0,0
JodaOrg_joda-time_2.9.6,0,40,246,1,0,0,0,0
javatuples_javatuples_1.1,0,0,26,0,24,495,0,0
javatuples_javatuples_1.2,0,0,26,0,34,601,0,0
apache_commons-io_2.0.1,0,0,103,1,907,124,0,0
apache_commons-io_2.1,0,0,103,1,934,124,0,0
apache_commons-io_2.4,0,0,108,2,1052,111,0,0
apache_commons-io_2.6,0,0,126,1,0,0,0,0
apache_commons-io_1.3.2,0,0,57,2,355,39,0,0
apache_commons-io_2.5,0,0,121,2,0,0,0,0
apache_commons-io_2.2,0,0,106,2,993,116,0,0
apache_commons-io_1.4,0,0,74,2,434,49,0,0
apache_commons-io_1.3,0,0,56,2,349,32,0,0
apache_commons-io_2.3,0,0,107,2,1035,110,0,0
apache_commons-io_2.0,0,0,103,1,905,125,0,0
apache_commons-io_1.3.1,0,0,56,2,349,32,0,0
RuedigerMoeller_fast-serialization_1.58,0,0,0,0,0,0,0,0
RuedigerMoeller_fast-serialization_2.29,0,0,0,0,0,0,0,0
RuedigerMoeller_fast-serialization_2.50,0,0,0,0,0,0,0,0
RuedigerMoeller_fast-serialization_2.47,0,0,0,0,0,0,0,0
RuedigerMoeller_fast-serialization_2.51,0,0,0,0,0,0,0,0
RuedigerMoeller_fast-serialization_2.42,0,0,0,0,0,0,0,0
RuedigerMoeller_fast-serialization_2.56,0,0,0,0,0,0,0,0
RuedigerMoeller_fast-serialization_2.45,0,0,0,0,0,0,0,0
RuedigerMoeller_fast-serialization_2.05,0,0,0,0,0,0,0,0
RuedigerMoeller_fast-serialization_2.57,0,0,0,0,0,0,0,0
lidatui_mybatis-paginator_1.2.15,0,0,0,0,0,0,0,0
lidatui_mybatis-paginator_1.2.17,0,0,0,0,0,0,0,0
bonigarcia_webdrivermanager_2.0.1,14,4312,44,152,111,11,46,79
bonigarcia_webdrivermanager_3.7.1,0,0,0,0,0,0,0,0
bonigarcia_webdrivermanager_3.8.1,1684,5438,27,0,345,86,5308,9954
bonigarcia_webdrivermanager_3.4.0,0,6633,26,0,0,0,0,0
bonigarcia_webdrivermanager_1.6.0,6,5880,15,2,36,24,17,65
