Lib,nbDepsUsedClasses,nbDepsBloatedClasses,nbLibUsedClasses,nbLibBloatedClasses,nbLibUsedMethods,nbLibBloatedMethods,nbDepsUsedMethods,nbDepsBloatedMethods
openbouquet_HikariCP_3.0.0,0,0,0,0,0,0,0,0
openbouquet_HikariCP_2.3.5,0,0,0,0,0,0,0,0
openbouquet_HikariCP_2.4.1,0,0,0,0,0,0,0,0
openbouquet_HikariCP_1.3.5,0,0,0,0,0,0,0,0
openbouquet_HikariCP_2.4.0,0,0,0,0,0,0,0,0
openbouquet_HikariCP_2.3.7,0,0,0,0,0,0,0,0
openbouquet_HikariCP_1.2.8,0,0,0,0,0,0,0,0
openbouquet_HikariCP_2.2.2,0,0,0,0,0,0,0,0
openbouquet_HikariCP_1.3.8,0,0,0,0,0,0,0,0
openbouquet_HikariCP_2.5.0,0,0,0,0,0,0,0,0
openbouquet_HikariCP_2.2.5,0,0,0,0,0,0,0,0
openbouquet_HikariCP_1.4.0,0,0,0,0,0,0,0,0
openbouquet_HikariCP_3.1.0,0,0,0,0,0,0,0,0
openbouquet_HikariCP_2.3.8,0,0,0,0,0,0,0,0
openbouquet_HikariCP_3.3.0,0,0,0,0,0,0,0,0
zeroturnaround_zt-exec_1.11,0,46,43,9,107,52,0,0
zeroturnaround_zt-exec_1.7,0,198,34,2,54,34,0,0
zeroturnaround_zt-exec_1.8,0,198,39,6,74,43,0,0
zeroturnaround_zt-exec_1.9,0,198,41,7,87,48,0,0
zeroturnaround_zt-exec_1.10,0,198,41,9,98,50,0,0
wg_scrypt_1.3.2,0,0,0,0,0,0,0,0
wg_scrypt_1.4.0,0,0,0,0,0,0,0,0
ronmamo_reflections_0.9.10,8,5311,81,15,213,77,21,48
ronmamo_reflections_0.9.12,110,1194,51,3,331,70,226,636
ronmamo_reflections_0.9.11,34,5062,81,9,261,81,75,248
ronmamo_reflections_0.9.9,8,5295,83,14,214,79,21,48
MariaDB_mariadb-connector-j_1.5.5,0,2773,63,137,114,211,0,0
MariaDB_mariadb-connector-j_2.5.3,9,6073,0,0,0,0,0,0
MariaDB_mariadb-connector-j_2.2.0,8,2733,73,133,187,375,8,33
MariaDB_mariadb-connector-j_2.4.2,0,0,0,0,0,0,0,0
MariaDB_mariadb-connector-j_2.4.0,9,1870,77,148,196,401,14,55
MariaDB_mariadb-connector-j_2.5.1,0,0,0,0,0,0,0,0
MariaDB_mariadb-connector-j_1.4.3,0,783,54,117,97,156,0,0
MariaDB_mariadb-connector-j_2.2.3,8,2733,76,146,205,400,8,33
MariaDB_mariadb-connector-j_1.5.7,0,2773,61,139,115,215,0,0
MariaDB_mariadb-connector-j_2.3.0,9,1691,78,147,209,407,14,53
MariaDB_mariadb-connector-j_1.8.0,0,2920,78,154,0,0,0,0
MariaDB_mariadb-connector-j_1.5.4,0,2773,63,137,112,211,0,0
skyscreamer_JSONassert_1.2.1,8,30,13,0,85,14,43,93
skyscreamer_JSONassert_1.2.3,8,30,19,0,106,15,45,91
skyscreamer_JSONassert_1.3.0,8,30,19,0,108,17,45,91
skyscreamer_JSONassert_1.2.0,14,882,10,0,60,18,49,157
skyscreamer_JSONassert_1.2.2,8,30,14,0,88,14,43,93
skyscreamer_JSONassert_1.5.0,14,2,20,0,140,16,57,96
10cella_hashids-java_1.0.1,0,0,1,0,11,8,0,0
logstash_logstash-logback-encoder_6.2,729,2571,180,29,946,393,2365,4257
logstash_logstash-logback-encoder_5.3,693,2062,195,162,874,386,2295,4461
logstash_logstash-logback-encoder_4.9,108,2831,154,160,403,237,266,431
logstash_logstash-logback-encoder_5.2,695,2060,195,162,868,380,2284,4466
logstash_logstash-logback-encoder_4.5.1,0,2890,141,162,0,0,0,0
logstash_logstash-logback-encoder_4.7,108,2810,153,154,379,226,259,413
logstash_logstash-logback-encoder_4.11,118,2909,170,157,457,245,284,437
logstash_logstash-logback-encoder_1.2,0,2938,18,150,0,0,0,0
aliyun_aliyun-oss-java-sdk_2.6.0,296,3248,269,75,824,755,545,932
aliyun_aliyun-oss-java-sdk_2.8.2,296,3248,272,75,828,766,545,932
aliyun_aliyun-oss-java-sdk_3.4.2,0,0,0,0,0,0,0,0
aliyun_aliyun-oss-java-sdk_2.7.0,296,3248,272,75,827,763,545,932
aliyun_aliyun-oss-java-sdk_2.8.3,296,1506,272,75,828,766,545,932
aliyun_aliyun-oss-java-sdk_2.8.1,296,3248,272,75,827,766,545,932
aliyun_aliyun-oss-java-sdk_2.3.0,296,3248,241,67,806,660,545,932
aliyun_aliyun-oss-java-sdk_3.1.0,0,0,0,0,0,0,0,0
apache_commons-dbutils_1.6,0,0,44,8,267,28,0,0
apache_commons-dbutils_1.0,0,0,35,5,0,0,0,0
apache_commons-dbutils_1.4,0,0,28,2,208,31,0,0
apache_commons-dbutils_1.3,0,0,23,2,150,35,0,0
apache_commons-dbutils_1.5,0,0,29,2,215,31,0,0
fangyidong_json-simple_1.1.1,0,546,11,1,0,0,0,0
jfree_jcommon_1.0.24,0,0,71,138,248,236,0,0
jfree_jcommon_1.0.23,0,0,71,138,245,239,0,0
xetorthio_jedis_3.0.1,50,170,112,408,380,1391,150,177
xetorthio_jedis_2.9.0,32,104,106,385,354,1364,114,142
xetorthio_jedis_2.7.1,30,102,86,167,260,1227,110,141
xetorthio_jedis_2.8.2,32,104,104,381,288,1353,114,142
xetorthio_jedis_2.6.3,30,102,85,162,248,1202,110,141
xetorthio_jedis_3.2.0,44,178,119,454,411,1529,150,179
xetorthio_jedis_2.7.2,30,102,86,167,260,1227,110,141
xetorthio_jedis_3.0.0,40,180,108,385,363,1356,122,158
xetorthio_jedis_2.7.0,30,102,85,166,259,1227,110,141
xetorthio_jedis_1.5.2,22,88,41,9,118,691,41,113
xetorthio_jedis_1.5.1,14,96,37,9,111,662,31,111
xetorthio_jedis_2.6.1,22,108,84,160,235,1197,81,125
xetorthio_jedis_2.9.2,40,180,108,385,363,1356,122,158
xetorthio_jedis_2.10.2,50,170,111,420,377,1454,150,177
xetorthio_jedis_2.8.1,32,104,102,381,280,1355,114,142
xetorthio_jedis_2.2.1,22,88,73,19,162,1028,42,113
xetorthio_jedis_2.8.0,30,102,102,375,296,1346,111,140
xetorthio_jedis_2.1.0,22,88,73,19,162,1028,42,113
xetorthio_jedis_3.1.0,44,178,118,446,409,1502,150,179
xetorthio_jedis_1.5.0,14,96,37,9,111,648,31,111
xetorthio_jedis_2.7.3,30,102,87,166,284,1239,111,140
xetorthio_jedis_2.0.0,44,178,119,454,411,1529,150,179
xetorthio_jedis_2.6.2,26,104,84,160,237,1195,95,137
jai-imageio_jai-imageio-core_1.2.1,0,0,270,68,502,263,0,0
jai-imageio_jai-imageio-core_1.3.0,0,0,269,69,500,265,0,0
jai-imageio_jai-imageio-core_1.4.0,0,0,278,61,620,382,0,0
jai-imageio_jai-imageio-core_1.3.1,0,0,278,60,514,319,0,0
apache_commons-jxpath_1.3,52,1221,176,4,1220,219,229,352
coobird_thumbnailator_0.4.7,0,0,0,0,0,0,0,0
coobird_thumbnailator_0.4.8,0,0,100,2,421,94,0,0
coobird_thumbnailator_0.4.2,0,0,0,0,0,0,0,0
coobird_thumbnailator_0.4.5,0,0,0,0,0,0,0,0
coobird_thumbnailator_0.4.4,0,0,0,0,0,0,0,0
jnr_jnr-ffi_2.0.9,26,606,446,179,243,321,57,231
jnr_jnr-ffi_0.7.4,26,594,348,92,97,74,62,226
jnr_jnr-ffi_2.1.12,36,762,0,0,265,314,83,240
jnr_jnr-ffi_1.0.7,22,594,442,176,230,314,53,231
jnr_jnr-ffi_2.1.0,26,606,470,163,264,314,62,226
jnr_jnr-ffi_2.0.5,26,606,446,179,243,321,57,231
jnr_jnr-ffi_2.1.9,26,702,484,166,265,314,62,226
jnr_jnr-ffi_0.6.0,26,606,446,179,243,321,57,231
zeroturnaround_zt-zip_1.6,0,198,21,7,45,31,0,0
zeroturnaround_zt-zip_1.0,0,198,9,4,13,32,0,0
zeroturnaround_zt-zip_1.13,0,46,82,3,327,72,0,0
zeroturnaround_zt-zip_1.7,0,198,48,1,116,34,0,0
zeroturnaround_zt-zip_1.8,0,46,58,1,177,45,0,0
zeroturnaround_zt-zip_1.9,0,46,78,3,288,62,0,0
zeroturnaround_zt-zip_1.12,0,46,82,3,327,72,0,0
zeroturnaround_zt-zip_1.5,0,198,21,7,46,31,0,0
apache_commons-math_2.1,0,0,541,18,3684,566,0,0
apache_commons-math_2.2,0,0,610,19,4229,686,0,0
Bukkit_Bukkit_1.7.9-R0.2,252,5582,486,252,494,324,494,721
Bukkit_Bukkit_1.6.4-R2.0,254,5580,469,245,491,302,490,725
Bukkit_Bukkit_1.3.1-R1.0,258,5576,378,223,452,268,502,746
Bukkit_Bukkit_1.1-R3,250,5584,261,327,290,160,482,365
Bukkit_Bukkit_1.7.2-R0.1,254,5580,471,246,495,322,490,725
Bukkit_Bukkit_1.2.5-R1.0,258,5576,327,250,450,269,501,747
Bukkit_Bukkit_1.4.7-R1.0,254,5580,427,236,461,262,490,725
Bukkit_Bukkit_1.5.2-R0.1,254,5580,449,242,464,262,490,725
Bukkit_Bukkit_1.7.2-R0.3,254,5580,482,248,497,323,491,724
Bukkit_Bukkit_1.5.2-R1.0,254,5580,452,246,464,262,490,725
apache_commons-bcel_6.2,0,0,399,34,0,0,0,0
apache_commons-bcel_6.4.1,0,0,127,317,0,0,0,0
apache_commons-bcel_6.0,0,0,397,34,0,0,0,0
julman99_gson-fire_1.5.1,212,118,56,5,162,15,389,331
julman99_gson-fire_1.8.0,228,120,67,5,198,24,420,366
julman99_gson-fire_1.8.3,234,114,68,5,201,24,444,351
julman99_gson-fire_1.8.2,234,114,68,5,199,24,438,357
bguerout_jongo_1.3.0,0,2652,93,9,0,0,0,0
bguerout_jongo_1.1,0,1919,84,8,0,0,0,0
bguerout_jongo_1.4.0,1353,1695,96,9,378,18,5903,6729
TooTallNate_Java-WebSocket_1.3.0,0,0,33,27,0,0,0,0
TooTallNate_Java-WebSocket_1.3.7,0,0,59,10,286,132,0,0
TooTallNate_Java-WebSocket_1.3.8,0,0,59,10,295,130,0,0
TooTallNate_Java-WebSocket_1.3.9,0,0,59,10,297,132,0,0
TooTallNate_Java-WebSocket_1.4.0,12,56,66,3,406,113,27,50
TooTallNate_Java-WebSocket_1.3.4,0,0,46,23,50,15,0,0
felx_nimbus-jose-jwt_4.16.2,0,0,0,0,0,0,0,0
felx_nimbus-jose-jwt_4.23,0,0,0,0,0,0,0,0
felx_nimbus-jose-jwt_8.0,0,0,0,0,0,0,0,0
felx_nimbus-jose-jwt_4.26.1,0,0,0,0,0,0,0,0
felx_nimbus-jose-jwt_4.11.2,0,0,0,0,0,0,0,0
felx_nimbus-jose-jwt_4.15.1,0,0,0,0,0,0,0,0
felx_nimbus-jose-jwt_2.24,492,4212,98,1,606,87,812,580
felx_nimbus-jose-jwt_8.2,700,4388,105,1,722,93,1385,1301
felx_nimbus-jose-jwt_4.41,0,0,0,0,0,0,0,0
JSQLParser_JSqlParser_2.1,0,0,0,0,0,0,0,0
JSQLParser_JSqlParser_1.0,0,0,0,0,0,0,0,0
JSQLParser_JSqlParser_0.9,0,556,113,47,0,0,0,0
JSQLParser_JSqlParser_1.4,0,0,0,0,0,0,0,0
JSQLParser_JSqlParser_1.2,0,0,0,0,0,0,0,0
jopt-simple_jopt-simple_5.0.3,0,0,59,0,0,0,0,0
jopt-simple_jopt-simple_4.0-beta1,0,0,46,0,265,6,0,0
jopt-simple_jopt-simple_4.8,0,0,47,0,0,0,0,0
jopt-simple_jopt-simple_4.5,0,0,47,0,313,8,0,0
jopt-simple_jopt-simple_4.9,0,0,48,0,0,0,0,0
jopt-simple_jopt-simple_4.4,0,0,45,0,278,8,0,0
jopt-simple_jopt-simple_5.0.2,0,0,59,0,0,0,0,0
jopt-simple_jopt-simple_4.3,0,0,44,0,266,6,0,0
jopt-simple_jopt-simple_5.0.1,0,0,59,0,0,0,0,0
FasterXML_jackson-dataformat-csv_2.3.3,0,1306,28,2,0,0,0,0
FasterXML_jackson-dataformat-csv_2.5.3,0,1314,32,1,61,39,0,0
FasterXML_jackson-dataformat-csv_2.8.8,8,1470,30,0,84,47,10,30
FasterXML_jackson-dataformat-csv_2.4.4,0,1276,29,2,47,26,0,0
FasterXML_jackson-dataformat-csv_2.7.3,8,1312,31,1,84,45,10,30
jboss-javassist_javassist_3.17.1-GA,0,0,0,0,0,0,0,0
jboss-javassist_javassist_3.21.0-GA,0,0,0,0,0,0,0,0
jboss-javassist_javassist_3.18.0-GA,0,0,0,0,0,0,0,0
jboss-javassist_javassist_3.18.1-GA,0,0,0,0,0,0,0,0
jboss-javassist_javassist_3.19.0-GA,0,0,0,0,0,0,0,0
jboss-javassist_javassist_3.16.1-GA,0,4694,353,188,0,0,0,0
jboss-javassist_javassist_3.18.2-GA,0,0,0,0,0,0,0,0
jboss-javassist_javassist_3.20.0-GA,0,0,0,0,0,0,0,0
dnsjava_dnsjava_2.1.8,0,0,148,42,0,0,0,0
dnsjava_dnsjava_3.0.0,0,0,0,0,0,0,0,0
dnsjava_dnsjava_2.1.6,0,0,143,39,0,0,0,0
dnsjava_dnsjava_2.1.7,0,0,146,38,0,0,0,0
dnsjava_dnsjava_2.1.9,0,0,150,42,889,431,0,0
jpush_jpush-api-java-client_3.3.4,160,7024,50,37,147,113,244,288
jpush_jpush-api-java-client_3.1.1,164,4188,45,24,160,70,255,332
jpush_jpush-api-java-client_3.1.3,166,4186,47,25,128,48,259,332
jpush_jpush-api-java-client_3.2.3,152,226,48,30,128,96,235,263
jpush_jpush-api-java-client_3.3.10,162,6564,50,38,146,116,250,308
jpush_jpush-api-java-client_3.2.9,148,230,63,38,165,152,169,293
jpush_jpush-api-java-client_3.2.11,160,10255,58,125,137,114,254,274
