ID,"Lib groupId","Lib artifactId","Lib version","Compile","Debloat","Debloat Time","Lib original test error","Lib original test failing","Lib original test passing","Lib debloat test error","Lib debloat test failing","Lib debloat test passing","Size original jar","Size debloat jar","Nb class original","Nb method original","Nb debloated classes","Nb preserved classes","Nb debloated methods","Nb Dependenies","Nb bloated dependenies","Nb dependeny class","Nb bloated dependeny class","Nb preserved dependeny class","Nb dependeny method","Nb bloated dependeny method","Lib coverage","Lib dep coverage","Lib all coverage","Client groupId","Client artifactId","Client Compile","Client Debloat","Client original test error","Client original test failing","Client original test passing","Client debloat test error","Client debloat test failing","Client debloat test passing","Client coverage","Cover lib"
10cella_hashids-java_1.0.1,org.hashids,hashids,1.0.1,True,True,196.896,0,0,11,0,0,11,7610,7339,1,19,0,0,3,1,1,12,12,0,0,0,0.7591721542803387,0,0.7591721542803387,com,mmall,True,True,0,0,1,0,0,1,0.0,False
10cella_hashids-java_1.0.1,org.hashids,hashids,1.0.1,True,True,196.896,0,0,11,0,0,11,7610,7339,1,19,0,0,3,1,1,12,12,0,0,0,0.7591721542803387,0,0.7591721542803387,com,mmall,False,False,,,,,,,,False
10cella_hashids-java_1.0.1,org.hashids,hashids,1.0.1,True,True,196.896,0,0,11,0,0,11,7610,7339,1,19,0,0,3,1,1,12,12,0,0,0,0.7591721542803387,0,0.7591721542803387,com,mmall,False,False,,,,,,,,False
10cella_hashids-java_1.0.1,org.hashids,hashids,1.0.1,True,True,196.896,0,0,11,0,0,11,7610,7339,1,19,0,0,3,1,1,12,12,0,0,0,0.7591721542803387,0,0.7591721542803387,com,tyl,False,False,,,,,,,,False
alibaba_fastjson_1.2.46,com.alibaba,fastjson,1.2.46,True,True,589.885,0,0,4229,0,0,4229,541184,521590,217,1806,8,8,40,47,47,35004,35004,0,0,0,0.8649361948955916,0,0.8649361948955916,com.example.mqtt.demo,mqtt-demo,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.46,com.alibaba,fastjson,1.2.46,True,True,589.885,0,0,4229,0,0,4229,541184,521590,217,1806,8,8,40,47,47,35004,35004,0,0,0,0.8649361948955916,0,0.8649361948955916,com.hanclouds,mqtt-sdk,False,False,,,,,,,,False
alibaba_fastjson_1.2.47,com.alibaba,fastjson,1.2.47,True,True,588.41,0,0,4252,0,0,4252,547554,527262,221,1821,9,9,40,48,48,35772,35772,0,0,0,0.8647643512350354,0,0.8647643512350354,agent,agentTest,True,True,0,0,1,0,0,1,0.0,False
alibaba_fastjson_1.2.47,com.alibaba,fastjson,1.2.47,True,True,588.41,0,0,4252,0,0,4252,547554,527262,221,1821,9,9,40,48,48,35772,35772,0,0,0,0.8647643512350354,0,0.8647643512350354,com.huobi.sdk,huobi-client,False,False,,,,,,,,False
alibaba_fastjson_1.2.47,com.alibaba,fastjson,1.2.47,True,True,588.41,0,0,4252,0,0,4252,547554,527262,221,1821,9,9,40,48,48,35772,35772,0,0,0,0.8647643512350354,0,0.8647643512350354,com.sherlock,imService,False,False,,,,,,,,False
alibaba_fastjson_1.2.47,com.alibaba,fastjson,1.2.47,True,True,588.41,0,0,4252,0,0,4252,547554,527262,221,1821,9,9,40,48,48,35772,35772,0,0,0,0.8647643512350354,0,0.8647643512350354,com.ech2o,weiyun,False,False,,,,,,,,False
