ID,NumID,Type.methods,Perc.methods
mybatis_mybatis-3_3.2.8,40,Used,83.84146341463415
mybatis_mybatis-3_3.2.8,40,Bloated,16.158536585365855
maxmind_GeoIP2-java_2.3.1,39,Used,50.81776831510694
maxmind_GeoIP2-java_2.3.1,39,Bloated,49.18223168489306
mybatis_mybatis-3_3.2.3,38,Used,83.77777777777777
mybatis_mybatis-3_3.2.3,38,Bloated,16.22222222222222
apache_commons-validator_1.4.0,37,Bloated,50.6190307746728
apache_commons-validator_1.4.0,37,Used,49.3809692253272
bguerout_jongo_1.1,36,Used,70.63835932986713
bguerout_jongo_1.1,36,Bloated,29.36164067013287
magro_kryo-serializers_0.29,35,Used,56.64160401002506
magro_kryo-serializers_0.29,35,Bloated,43.35839598997494
EsotericSoftware_reflectasm_1.11.3,34,Used,71.91283292978208
EsotericSoftware_reflectasm_1.11.3,34,Bloated,28.087167070217916
EsotericSoftware_reflectasm_1.11.7,33,Used,71.83770883054893
EsotericSoftware_reflectasm_1.11.7,33,Bloated,28.162291169451073
logstash_logstash-logback-encoder_4.11,32,Bloated,50.066489361702125
logstash_logstash-logback-encoder_4.11,32,Used,49.933510638297875
FasterXML_jackson-module-parameter-names_2.7.6,31,Bloated,51.07913669064748
FasterXML_jackson-module-parameter-names_2.7.6,31,Used,48.92086330935252
jline_jline2_2.11,30,Used,69.14498141263941
jline_jline2_2.11,30,Bloated,30.855018587360593
jline_jline2_2.12.1,29,Used,70.32569360675512
jline_jline2_2.12.1,29,Bloated,29.674306393244873
FasterXML_jackson-module-parameter-names_2.8.4,28,Bloated,50.85624509033779
FasterXML_jackson-module-parameter-names_2.8.4,28,Used,49.14375490966221
magro_kryo-serializers_0.41,27,Used,59.49170124481328
magro_kryo-serializers_0.41,27,Bloated,40.50829875518672
magro_kryo-serializers_0.42,26,Used,60.07231404958678
magro_kryo-serializers_0.42,26,Bloated,39.92768595041322
EsotericSoftware_reflectasm_1.10.0,25,Used,75.67567567567568
EsotericSoftware_reflectasm_1.10.0,25,Bloated,24.324324324324323
jline_jline2_2.14.5,24,Used,73.85554425228891
jline_jline2_2.14.5,24,Bloated,26.14445574771109
FasterXML_jackson-module-jaxb-annotations_2.7.5,23,Used,67.12249054407914
FasterXML_jackson-module-jaxb-annotations_2.7.5,23,Bloated,32.87750945592086
magro_kryo-serializers_0.45,22,Used,58.106355382619974
magro_kryo-serializers_0.45,22,Bloated,41.893644617380026
FasterXML_jackson-datatype-jdk8_2.6.1,21,Used,62.61957321559971
FasterXML_jackson-datatype-jdk8_2.6.1,21,Bloated,37.38042678440029
FasterXML_jackson-datatype-jsr310_2.6.1,20,Used,66.32545536655127
FasterXML_jackson-datatype-jsr310_2.6.1,20,Bloated,33.67454463344874
FasterXML_jackson-datatype-jsr310_2.7.6,19,Used,66.95877029162477
FasterXML_jackson-datatype-jsr310_2.7.6,19,Bloated,33.041229708375234
FasterXML_jackson-datatype-jsr310_2.7.1,18,Used,66.90490081680281
FasterXML_jackson-datatype-jsr310_2.7.1,18,Bloated,33.0950991831972
FasterXML_jackson-datatype-jsr310_2.8.4,17,Used,66.44618988562766
FasterXML_jackson-datatype-jsr310_2.8.4,17,Bloated,33.55381011437233
FasterXML_jackson-datatype-jdk8_2.7.1,16,Used,63.67142857142857
FasterXML_jackson-datatype-jdk8_2.7.1,16,Bloated,36.32857142857143
FasterXML_jackson-datatype-jdk8_2.8.4,15,Used,62.801471590134895
FasterXML_jackson-datatype-jdk8_2.8.4,15,Bloated,37.198528409865105
jettison-json_jettison_1.1,14,Used,75.2
jettison-json_jettison_1.1,14,Bloated,24.8
jettison-json_jettison_1.3.2,13,Used,73.85377942998761
jettison-json_jettison_1.3.2,13,Bloated,26.146220570012392
jettison-json_jettison_1.3.3,12,Used,74.17783191230207
jettison-json_jettison_1.3.3,12,Bloated,25.82216808769793
jettison-json_jettison_1.3.7,11,Used,75.84597432905484
jettison-json_jettison_1.3.7,11,Bloated,24.154025670945156
jettison-json_jettison_1.3.8,10,Used,75.90221187427241
jettison-json_jettison_1.3.8,10,Bloated,24.09778812572759
jettison-json_jettison_1.3,9,Used,75.90221187427241
jettison-json_jettison_1.3,9,Bloated,24.09778812572759
RbkGh_Jose4j_0.4.4,8,Used,77.32644017725258
RbkGh_Jose4j_0.4.4,8,Bloated,22.673559822747414
julman99_gson-fire_1.8.0,7,Used,76.27272727272728
julman99_gson-fire_1.8.0,7,Bloated,23.727272727272727
julman99_gson-fire_1.8.3,6,Used,77.33812949640287
julman99_gson-fire_1.8.3,6,Bloated,22.66187050359712
julman99_gson-fire_1.8.2,5,Used,77.02702702702703
julman99_gson-fire_1.8.2,5,Bloated,22.972972972972972
alexruiz_fest-assert-2.x_2.0M10,4,Used,97.64651592062759
alexruiz_fest-assert-2.x_2.0M10,4,Bloated,2.353484079372404
alexruiz_fest-assert-2.x_2.0M8,3,Used,97.64542936288089
alexruiz_fest-assert-2.x_2.0M8,3,Bloated,2.3545706371191137
j256_ormlite-jdbc_4.40,2,Used,82.3132530120482
j256_ormlite-jdbc_4.40,2,Bloated,17.686746987951807
skyscreamer_JSONassert_1.5.0,1,Used,77.28706624605678
skyscreamer_JSONassert_1.5.0,1,Bloated,22.71293375394322
