DischargesObligation.class,IGNORED,465
CheckForNull.class,IGNORED,723
PossiblyNull.class,IGNORED,723
UnknownNullness.class,IGNORED,731
When.class,IGNORED,1163
DesireNoWarning.class,IGNORED,684
DefaultAnnotation.class,IGNORED,925
DesireWarning.class,IGNORED,537
NonNull.class,IGNORED,714
NoWarning.class,IGNORED,529
CleanupObligation.class,IGNORED,457
OverrideMustInvoke.class,IGNORED,640
SuppressFBWarnings.class,IGNORED,447
Confidence.class,IGNORED,1359
Priority.class,IGNORED,1425
DefaultAnnotationForFields.class,IGNORED,943
ExpectWarning.class,IGNORED,565
CheckReturnValue.class,IGNORED,876
DefaultAnnotationForMethods.class,IGNORED,945
CreatesObligation.class,IGNORED,478
SuppressWarnings.class,IGNORED,633
ReturnValuesAreNonnullByDefault.class,IGNORED,583
DefaultAnnotationForParameters.class,IGNORED,951
Nullable.class,IGNORED,717
CtClassType.class,CONSIDERED,41486
ClassClassPath.class,CONSIDERED,1356
Loader$Simple.class,CONSIDERED,1008
CtArray.class,CONSIDERED,2752
CtField$PtreeInitializer.class,CONSIDERED,1146
CtField$FloatInitializer.class,CONSIDERED,2118
BadHttpRequest.class,CONSIDERED,622
Webserver.class,CONSIDERED,9190
ServiceThread.class,CONSIDERED,778
Viewer.class,CONSIDERED,4589
ClassMetaobject.class,CONSIDERED,7713
Metaobject.class,CONSIDERED,4457
CannotReflectException.class,CONSIDERED,415
Metalevel.class,IGNORED,322
Sample.class,CONSIDERED,1753
CompiledClass.class,CONSIDERED,391
Loader.class,CONSIDERED,1292
Compiler.class,CONSIDERED,3395
CannotInvokeException.class,CONSIDERED,1534
Reflection.class,CONSIDERED,9636
CannotCreateException.class,CONSIDERED,719
Dump.class,CONSIDERED,1452
framedump.class,CONSIDERED,1316
ObjectImporter.class,CONSIDERED,6140
Proxy.class,IGNORED,140
Sample.class,CONSIDERED,894
StubGenerator.class,CONSIDERED,7217
AppletServer.class,CONSIDERED,6519
RemoteRef.class,CONSIDERED,577
ExportedObject.class,CONSIDERED,416
RemoteException.class,CONSIDERED,727
ObjectNotFoundException.class,CONSIDERED,801
Callback.class,CONSIDERED,2200
CtNewClass.class,CONSIDERED,3625
CodeConverter$ArrayAccessReplacementMethodNames.class,IGNORED,610
JarDirClassPath.class,CONSIDERED,1674
ClassMap.class,CONSIDERED,2193
CtPrimitiveType.class,CONSIDERED,1593
SecurityActions$7.class,CONSIDERED,1132
DefineClassHelper$Java9.class,CONSIDERED,4704
ProxyFactory.class,CONSIDERED,29782
SecurityActions$5.class,CONSIDERED,796
RuntimeSupport.class,CONSIDERED,5643
ProxyFactory$ProxyDetails.class,CONSIDERED,735
DefinePackageHelper$Java7.class,CONSIDERED,2712
Proxy.class,IGNORED,175
SecurityActions$1.class,CONSIDERED,767
SecurityActions$3.class,CONSIDERED,1048
DefineClassHelper$1.class,CONSIDERED,241
SerializedProxy.class,CONSIDERED,3525
SecurityActions$4.class,CONSIDERED,950
DefinePackageHelper$1.class,CONSIDERED,247
DefineClassHelper.class,CONSIDERED,4592
MethodHandler.class,IGNORED,305
DefineClassHelper$Helper.class,CONSIDERED,1019
SecurityActions$6.class,CONSIDERED,933
SecurityActions$TheUnsafe.class,CONSIDERED,2624
SecurityActions$2.class,CONSIDERED,782
ProxyFactory$ClassLoaderProvider.class,IGNORED,315
SecurityActions.class,CONSIDERED,3590
ProxyObjectInputStream.class,CONSIDERED,2294
DefinePackageHelper.class,CONSIDERED,1776
DefineClassHelper$Java9$ReferencedUnsafe.class,CONSIDERED,2790
ProxyFactory$2.class,CONSIDERED,932
ProxyObjectOutputStream.class,CONSIDERED,1736
DefinePackageHelper$JavaOther.class,CONSIDERED,2898
DefineClassHelper$Java11.class,CONSIDERED,1570
FactoryHelper.class,CONSIDERED,6269
DefinePackageHelper$Helper.class,CONSIDERED,932
ProxyObject.class,IGNORED,283
SecurityActions$8.class,CONSIDERED,2040
DefinePackageHelper$Java9.class,CONSIDERED,1415
ProxyFactory$3.class,CONSIDERED,963
MethodFilter.class,IGNORED,178
ProxyFactory$1.class,CONSIDERED,738
ProxyFactory$Find2MethodsArgs.class,CONSIDERED,750
DefineClassHelper$JavaOther.class,CONSIDERED,3152
RuntimeSupport$DefaultMethodHandler.class,CONSIDERED,989
SerializedProxy$1.class,CONSIDERED,1152
DefineClassHelper$Java7.class,CONSIDERED,3009
ProxyFactory$UniqueName.class,IGNORED,317
HotSwapper.class,CONSIDERED,6199
Trigger.class,CONSIDERED,345
HotSwapper$1.class,CONSIDERED,1706
HotSwapAgent.class,CONSIDERED,6342
CtNewConstructor.class,CONSIDERED,4163
CtMethod$IntConstParameter.class,CONSIDERED,1013
CtField$CodeInitializer.class,CONSIDERED,1430
ClassPathList.class,CONSIDERED,460
ByteArrayClassPath$BytecodeURLConnection.class,CONSIDERED,1023
FieldInitLink.class,CONSIDERED,632
CtField.class,CONSIDERED,10247
ClassPoolTail.class,CONSIDERED,5069
Translator.class,IGNORED,324
CodeConverter$DefaultArrayAccessReplacementMethodNames.class,CONSIDERED,2097
URLClassPath.class,CONSIDERED,3540
CtMember.class,CONSIDERED,2572
CtField$LongInitializer.class,CONSIDERED,2112
CtField$DoubleInitializer.class,CONSIDERED,2122
LoaderClassPath.class,CONSIDERED,1626
Desc.class,CONSIDERED,3467
Cflow.class,CONSIDERED,754
Desc$1.class,CONSIDERED,698
DotClass.class,CONSIDERED,626
Cflow$Depth.class,CONSIDERED,610
Inner.class,CONSIDERED,276
CtConstructor.class,CONSIDERED,8261
Loader.class,CONSIDERED,6854
ExprEditor.class,CONSIDERED,6614
FieldAccess.class,CONSIDERED,5786
Instanceof$ProceedForInstanceof.class,CONSIDERED,1806
ConstructorCall.class,CONSIDERED,1354
Expr.class,CONSIDERED,8597
Cast.class,CONSIDERED,4128
FieldAccess$ProceedForRead.class,CONSIDERED,2035
Instanceof.class,CONSIDERED,4202
NewExpr$ProceedForNew.class,CONSIDERED,1918
NewArray$ProceedForArray.class,CONSIDERED,2047
Cast$ProceedForCast.class,CONSIDERED,1790
ExprEditor$NewOp.class,CONSIDERED,597
Handler.class,CONSIDERED,4356
NewExpr.class,CONSIDERED,5383
NewArray.class,CONSIDERED,6477
MethodCall.class,CONSIDERED,6684
ExprEditor$LoopContext.class,CONSIDERED,795
FieldAccess$ProceedForWrite.class,CONSIDERED,2325
CannotCompileException.class,CONSIDERED,2272
ByteArrayClassPath.class,CONSIDERED,1574
CtNewMethod.class,CONSIDERED,8315
CtClass$DelayedFileOutputStream.class,CONSIDERED,1391
CtNewWrappedMethod.class,CONSIDERED,7502
CtField$CodeInitializer0.class,CONSIDERED,3021
CodeConverter.class,CONSIDERED,6933
CtField$MethodInitializer.class,CONSIDERED,2819
CtField$IntInitializer.class,CONSIDERED,2068
CtField$StringInitializer.class,CONSIDERED,2013
CtField$NewInitializer.class,CONSIDERED,3002
ByteArrayClassPath$BytecodeURLStreamHandler.class,CONSIDERED,1108
CtMethod$StringConstParameter.class,CONSIDERED,1087
CtClass.class,CONSIDERED,16270
ClassPool$1.class,CONSIDERED,1240
CtClass$1.class,CONSIDERED,1096
SerialVersionUID.class,CONSIDERED,5468
JarClassPath.class,CONSIDERED,2371
JarDirClassPath$1.class,CONSIDERED,908
CtMethod$LongConstParameter.class,CONSIDERED,1016
CtNewWrappedConstructor.class,CONSIDERED,3884
ClassPath.class,IGNORED,307
SerialVersionUID$1.class,CONSIDERED,853
CtBehavior.class,CONSIDERED,23624
CtField$Initializer.class,CONSIDERED,5203
StackMapTable$Printer.class,CONSIDERED,3239
SignatureAttribute$TypeParameter.class,CONSIDERED,3020
ClassFileWriter$MethodWriter.class,CONSIDERED,5003
StackMap$SimpleCopy.class,CONSIDERED,1718
LocalVariableAttribute.class,CONSIDERED,5662
LineNumberAttribute.class,CONSIDERED,3004
StackMap$Writer.class,CONSIDERED,1179
SignatureAttribute$MethodSignature.class,CONSIDERED,3265
MethodTypeInfo.class,CONSIDERED,3101
CodeIterator$Branch.class,CONSIDERED,1301
