Library,NbVersions,NbDebloatedVersions
10cella/hashids-java,1,1
alibaba/fastjson,15,14
jlawrie/opencsv,1,1
apache/commons-cli,4,2
DiUS/java-faker,3,3
EsotericSoftware/reflectasm,3,2
EsotericSoftware/yamlbeans,3,3
FasterXML/jackson-dataformat-csv,1,0
FasterXML/jackson-datatype-jdk8,3,3
FasterXML/jackson-datatype-jsr310,4,4
FasterXML/jackson-module-jaxb-annotations,1,0
FasterXML/jackson-module-parameter-names,2,2
FasterXML/woodstox,1,0
apache/commons-net,7,4
HaraldWalker/user-agent-utils,2,0
HtmlUnit/htmlunit,1,0
JSQLParser/JSqlParser,6,0
JodaOrg/joda-convert,5,0
JodaOrg/joda-time,20,20
JodaOrg/joda-time-hibernate,1,1
svn2github/kryo,1,1
MilkBowl/VaultAPI,1,1
apache/commons-collections,5,3
RbkGh/Jose4j,1,1
SonarSource/sslr-squid-bridge,2,1
TooTallNate/Java-WebSocket,1,0
alexruiz/fest-assert-2.x,5,2
amplafi/htmlcleaner,1,1
apache/attic-mrunit,3,0
apache/commons-bcel,2,0
apache/commons-codec,7,3
apache/commons-configuration,6,0
apache/commons-csv,7,7
apache/commons-compress,4,0
apache/commons-dbcp,5,0
apache/commons-dbutils,5,4
apache/commons-email,4,2
apache/commons-exec,2,2
apache/commons-io,5,4
apache/commons-jexl,2,0
apache/commons-jxpath,1,1
apache/commons-lang,13,5
apache/commons-logging,2,0
apache/commons-math,5,3
apache/commons-pool,1,0
apache/commons-text,7,3
apache/commons-validator,5,5
apache/sling-org-apache-sling-api,6,5
belerweb/pinyin4j,1,1
bguerout/jongo,3,2
bmoliveira/snake-yaml,6,4
brettwooldridge/HikariCP,2,0
jhy/jsoup,19,19
jettison-json/jettison,7,7
davidmoten/guava-mini,2,2
dnsjava/dnsjava,2,1
xerial/sqlite-jdbc,15,0
dinix2008/quasar-groovy,1,0
dnaumenko/java-diff-utils,1,1
eclipse-vertx/vert.x,1,0
jline/jline2,9,5
hub4j/github-api,1,0
j256/ormlite-jdbc,3,3
jai-imageio/jai-imageio-core,2,0
javatuples/javatuples,2,2
jboss-javassist/javassist,3,0
jenkinsci/token-macro-plugin,6,0
jeremyh/jBCrypt,2,2
jfree/jcommon,1,1
jnr/jnr-ffi,1,0
joel-costigliola/assertj-core,23,1
jopt-simple/jopt-simple,9,9
jqno/equalsverifier,2,0
julman99/gson-fire,3,3
kstyrc/embedded-redis,1,1
liudongdong0909/mybatis-generator-core-fix,1,1
logstash/logstash-logback-encoder,4,3
magro/kryo-serializers,6,5
maxmind/GeoIP2-java,3,1
mvel/mvel,2,0
mybatis/mybatis-3,12,8
omalley/base64,2,2
pagehelper/Mybatis-PageHelper,5,5
perwendel/spark,10,0
ronmamo/reflections,4,0
ryantenney/metrics-spring,4,0
skyscreamer/JSONassert,5,5
srikanth-lingala/zip4j,1,1
str4d/ed25519-java,2,2
vert-x3/vertx-hazelcast,1,0
vert-x3/vertx-unit,5,3
wg/scrypt,1,0
zeromq/jeromq,5,5
zeroturnaround/zt-exec,1,1





























































































